latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-32.768,-65.004,324.4,1.1,1.1,10/19/2018,300,T,92,6.0NRT,288.3,26.7,N
-32.77,-65.016,310.1,1.1,1.1,10/19/2018,300,T,79,6.0NRT,288.4,13,N
-32.757,-64.994,314.8,1.1,1.1,10/19/2018,300,T,32,6.0NRT,286.4,15.3,N
-32.76,-65.018,339.2,1.1,1.1,10/19/2018,300,T,100,6.0NRT,288.9,49.4,N
-32.762,-65.03,333.4,1.1,1.1,10/19/2018,300,T,100,6.0NRT,289.4,39.4,N
-32.763,-65.042,350.4,1.1,1.1,10/19/2018,300,T,100,6.0NRT,292.3,74.1,N
-32.765,-65.054,337.8,1.1,1.1,10/19/2018,300,T,100,6.0NRT,290.8,47.4,N
-32.751,-65.02,326.5,1.1,1.1,10/19/2018,300,T,91,6.0NRT,289.6,26.6,N
-32.752,-65.032,325.8,1.1,1.1,10/19/2018,300,T,100,6.0NRT,290.6,26.9,N
-32.754,-65.044,322.7,1.1,1.1,10/19/2018,300,T,96,6.0NRT,290.6,23,N
-32.755,-65.056,346.4,1.1,1.1,10/19/2018,300,T,100,6.0NRT,291.7,65,N
-32.744,-65.046,330.6,1.1,1.1,10/19/2018,300,T,100,6.0NRT,289.8,34.6,N
-32.746,-65.058,341.4,1.1,1.1,10/19/2018,300,T,100,6.0NRT,290.3,54.8,N
-32.747,-65.07,305.6,1.1,1.1,10/19/2018,300,T,65,6.0NRT,288.3,8.9,N
-32.724,-64.962,323.7,1.1,1.1,10/19/2018,300,T,98,6.0NRT,283.1,27.7,N
-32.727,-64.987,312.8,1.1,1.1,10/19/2018,300,T,61,6.0NRT,284,12.5,N
-32.729,-64.999,308,1.1,1.1,10/19/2018,300,T,10,6.0NRT,282.8,7.4,N
-32.716,-64.977,351,1.1,1.1,10/19/2018,300,T,100,6.0NRT,289.9,75.3,N
-32.718,-64.989,397.5,1.1,1.1,10/19/2018,300,T,100,6.0NRT,298.1,277.6,N
-32.719,-65.001,351,1.1,1.1,10/19/2018,300,T,100,6.0NRT,286.8,73.5,N
-32.713,-64.983,360.2,1.1,1.1,10/19/2018,300,T,100,6.0NRT,290.3,104.1,N
-32.715,-64.995,362.6,1.1,1.1,10/19/2018,300,T,100,6.0NRT,289.7,111.2,N
-32.716,-65.007,319.8,1.1,1.1,10/19/2018,300,T,99,6.0NRT,283.9,22.2,N
-29.983,-60.686,305.5,1.1,1.1,10/19/2018,300,T,65,6.0NRT,292.9,7.7,N
-29.289,-60.819,313.3,1.1,1.1,10/19/2018,300,T,87,6.0NRT,294,13.4,N
-29.261,-62.021,304.6,1,1,10/19/2018,300,T,61,6.0NRT,293,5.5,N
-29.262,-62.032,318.7,1,1,10/19/2018,300,T,97,6.0NRT,292.9,16.5,N
-18.464,-58.948,310.1,2.3,1.5,10/19/2018,305,T,71,6.0NRT,273.2,27.6,N
-18.451,-58.951,304.8,2.3,1.5,10/19/2018,305,T,56,6.0NRT,272.8,17.1,N
-18.418,-58.844,313.5,2.4,1.5,10/19/2018,305,T,41,6.0NRT,287.4,32.8,N
-18.422,-58.866,334.6,2.4,1.5,10/19/2018,305,T,100,6.0NRT,284,116,N
-18.408,-58.869,310.5,2.4,1.5,10/19/2018,305,T,47,6.0NRT,284.3,26.1,N
-18.41,-58.852,315.8,2.4,1.5,10/19/2018,305,T,71,6.0NRT,287.3,37.1,N
-18.414,-58.875,324.1,2.4,1.5,10/19/2018,305,T,100,6.0NRT,284.3,68,N
-18.398,-59.014,316.1,2.3,1.5,10/19/2018,305,T,92,6.0NRT,276.7,47.9,N
-18.402,-59.036,307.8,2.3,1.5,10/19/2018,305,T,72,6.0NRT,276.9,25.8,N
-19.067,-63.341,327.7,1.2,1.1,10/19/2018,305,T,100,6.0NRT,290.9,30.6,N
-19.069,-63.352,323.8,1.2,1.1,10/19/2018,305,T,100,6.0NRT,290.5,25.2,N
-19.065,-63.347,335.1,1.2,1.1,10/19/2018,305,T,100,6.0NRT,291.4,44.4,N
-18.834,-62.976,300.3,1.2,1.1,10/19/2018,305,T,24,6.0NRT,281.5,4.4,N
-18.847,-63.116,320.5,1.2,1.1,10/19/2018,305,T,100,6.0NRT,289.3,21.8,N
-18.848,-63.127,326.2,1.2,1.1,10/19/2018,305,T,100,6.0NRT,288.9,29.9,N
-18.846,-63.122,329.3,1.2,1.1,10/19/2018,305,T,100,6.0NRT,289.3,35.1,N
-18.848,-63.133,304.4,1.2,1.1,10/19/2018,305,T,60,6.0NRT,288,5.9,N
-18.147,-59.455,300.5,2.2,1.4,10/19/2018,305,T,9,6.0NRT,275.6,12.1,N
-18.145,-59.441,301,2.2,1.4,10/19/2018,305,T,5,6.0NRT,274.4,12.7,N
-18.283,-61.874,319.1,1.5,1.2,10/19/2018,305,T,98,6.0NRT,283,27.5,N
-18.285,-61.888,303.8,1.5,1.2,10/19/2018,305,T,57,6.0NRT,281.6,7.8,N
-18.272,-61.876,311.4,1.5,1.2,10/19/2018,305,T,82,6.0NRT,281.4,16.1,N
-18.278,-61.867,311.6,1.5,1.2,10/19/2018,305,T,83,6.0NRT,284,16.4,N
-18.28,-61.881,321.2,1.5,1.2,10/19/2018,305,T,100,6.0NRT,280.8,31,N
-17.792,-59.677,304.5,2.1,1.4,10/19/2018,305,T,48,6.0NRT,279.8,15.6,N
-17.79,-59.664,300,2.1,1.4,10/19/2018,305,T,4,6.0NRT,277.7,10.4,N
-18.147,-62.261,314.3,1.4,1.2,10/19/2018,305,T,89,6.0NRT,295.9,16,N
-18.149,-62.274,320.4,1.4,1.2,10/19/2018,305,T,100,6.0NRT,296.1,24.7,N
