latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight,incendio,fecha,temperatura,humedad,pr_atm,temp_min,temp_max
-16.674,-62.411,305.6,3.2,1.7,10/19/2018,610,A,57,6.0NRT,286.8,32.8,N,0,2018-10-19,306.188,64,986.14,306.188,306.188
-16.665,-62.65,303.2,3.1,1.7,10/19/2018,610,A,54,6.0NRT,289.3,24.9,N,0,2018-10-19,306.188,64,986.14,306.188,306.188
-17.207,-61.662,308.4,3.8,1.8,10/19/2018,610,A,74,6.0NRT,282.5,53.9,N,1,2018-10-19,305.438,77,988.33,305.438,305.438
-17.195999999999998,-61.668,302.1,3.8,1.8,10/19/2018,610,A,23,6.0NRT,281.2,25.3,N,0,2018-10-19,305.438,77,988.33,305.438,305.438
-17.213,-61.67,303.8,3.8,1.8,10/19/2018,610,A,44,6.0NRT,283.1,32.0,N,0,2018-10-19,305.438,77,988.33,305.438,305.438
-17.373,-60.715,306.4,4.4,1.9,10/19/2018,610,A,68,6.0NRT,283.4,55.1,N,1,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.377,-60.674,306.4,4.5,1.9,10/19/2018,610,A,68,6.0NRT,283.6,56.8,N,1,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.374000000000002,-60.718999999999994,305.1,4.4,1.9,10/19/2018,610,A,63,6.0NRT,283.3,48.0,N,0,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.378,-60.677,308.2,4.5,1.9,10/19/2018,610,A,74,6.0NRT,283.5,66.5,N,1,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.441,-60.766999999999996,319.4,4.4,1.9,10/19/2018,610,A,98,6.0NRT,281.5,139.3,N,1,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.454,-60.81,300.6,4.4,1.9,10/19/2018,610,A,16,6.0NRT,281.6,25.2,N,0,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.458,-60.769,303.4,4.4,1.9,10/19/2018,610,A,51,6.0NRT,279.2,39.4,N,0,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.441,-60.776,322.6,4.4,1.9,10/19/2018,610,A,100,6.0NRT,281.8,166.9,N,1,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.458,-60.777,305.0,4.4,1.9,10/19/2018,610,A,62,6.0NRT,280.5,50.0,N,0,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.662,-60.88399999999999,302.9,4.3,1.9,10/19/2018,610,A,52,6.0NRT,286.5,35.8,N,0,2018-10-19,308.15,50,1013.0,308.15,308.15
-17.63,-62.083999999999996,322.2,3.5,1.8,10/19/2018,610,A,100,6.0NRT,291.2,115.9,N,1,2018-10-19,305.438,77,988.33,305.438,305.438
-17.633,-62.051,317.5,3.6,1.8,10/19/2018,610,A,95,6.0NRT,291.3,88.5,N,1,2018-10-19,305.438,77,988.33,305.438,305.438
-17.639,-62.09,320.1,3.5,1.8,10/19/2018,610,A,100,6.0NRT,291.5,101.9,N,1,2018-10-19,305.438,77,988.33,305.438,305.438
-17.642,-62.056000000000004,321.9,3.6,1.8,10/19/2018,610,A,100,6.0NRT,291.4,114.7,N,1,2018-10-19,305.438,77,988.33,305.438,305.438
-18.057000000000002,-62.157,306.8,3.5,1.8,10/19/2018,610,A,69,6.0NRT,291.9,34.1,N,1,2018-10-19,306.338,58,985.65,306.338,306.338
-18.061,-62.123999999999995,310.1,3.6,1.8,10/19/2018,610,A,79,6.0NRT,292.2,49.0,N,1,2018-10-19,306.338,58,985.65,306.338,306.338
