latitude,longitude
-3.38,-42.427
-2.5660000000000003,-48.111000000000004
-2.5639999999999996,-48.117
-3.388,-42.43600000000001
-2.685,-47.559
-2.687,-47.54600000000001
-2.885,-47.941
-3.072,-47.349
-3.8960000000000004,-41.648
-2.885,-50.431000000000004
-3.032,-50.373999999999995
-3.572,-46.975
-3.7960000000000003,-47.336000000000006
-3.8819999999999997,-47.208999999999996
-4.487,-43.945
-4.703,-43.141999999999996
-4.136,-47.428999999999995
-4.14,-47.422
-3.112,-54.732
-4.7669999999999995,-43.896
-4.622,-45.707
-3.484,-53.961999999999996
-4.913,-44.161
-5.01,-43.78
-5.01,-43.787
-3.0410000000000004,-57.461000000000006
-5.0569999999999995,-43.656000000000006
-5.01,-44.428000000000004
-5.001,-44.433
-4.023,-52.088
-4.032,-52.089
-4.041,-52.091
-5.4510000000000005,-44.115
-5.494,-44.256
-5.546,-45.034
-6.3229999999999995,-43.708999999999996
-6.449,-43.79
-6.447,-43.79600000000001
-5.904,-51.323
-7.675,-45.20399999999999
-7.605,-46.138000000000005
-7.6,-47.161
-7.88,-45.41
-8.167,-45.73
-7.757999999999999,-49.708999999999996
-7.761,-49.70399999999999
-7.295,-55.474
-8.488,-49.309
-9.182,-48.071999999999996
-9.245,-48.276
-10.228,-49.407
-9.737,-53.797
-10.42,-49.42
-10.422,-49.408
-10.43,-49.422
-10.211,-52.59
-10.214,-52.757
-10.215,-52.748000000000005
-10.333,-52.132
-10.334000000000001,-52.122
-10.629000000000001,-54.047
-10.637,-54.058
-10.707,-54.45
-10.708,-54.441
-10.978,-52.817
-12.325999999999999,-45.836999999999996
-10.834000000000001,-57.18
-13.397,-43.551
-13.401,-43.512
-13.414000000000001,-43.552
-13.419,-43.513999999999996
-14.100999999999999,-43.349
-14.119000000000002,-43.35
-14.102,-43.355
-14.12,-43.357
-13.444,-53.831
-12.71,-63.059
-13.911,-56.631
-13.913,-56.626000000000005
-14.179,-55.6
-13.103,-62.559
-13.22,-63.091
-14.612,-59.126999999999995
-15.124,-56.532
-15.127,-56.538999999999994
-15.128,-56.528
-16.362000000000002,-61.148
-16.366,-61.126999999999995
-16.375,-61.151
-16.379,-61.13
-16.375,-61.136
-16.669,-62.426
-16.671,-62.433
-18.152,-54.548
-18.153,-54.538999999999994
-18.746,-54.195
-28.995,-56.706
-30.758000000000003,-57.983000000000004
-30.816999999999997,-60.854
-30.87,-60.663000000000004
-31.395,-58.034
-31.397,-58.023
-31.291999999999998,-59.137
-31.934,-57.551
-31.729,-61.236999999999995
-32.45,-57.418
-32.621,-60.637
-33.253,-58.035
-32.838,-61.25
-33.53,-58.221000000000004
-33.371,-60.156000000000006
-33.93,-60.367
-34.643,-60.464
-34.866,-61.534
-35.429,-60.169
-35.438,-60.17100000000001
-35.639,-59.772
-35.646,-59.78
-36.27,-59.74
-36.1,-60.897
-36.297,-59.74100000000001
-36.231,-61.111000000000004
-37.308,-61.873999999999995
-37.546,-60.797
-37.983000000000004,-61.355
-32.904,-71.28399999999999
7.811,-72.438
5.1739999999999995,-72.547
5.02,-72.75
5.018,-72.741
3.873,-72.178
3.792,-71.991
2.715,-72.178
2.714,-72.167
2.0340000000000003,-73.93
1.875,-73.97399999999999
-0.47,-78.86399999999999
-2.3169999999999997,-79.025
-2.4619999999999997,-78.171
-2.667,-79.348
-2.773,-79.53
-4.186,-79.449
-5.941,-77.311
-6.064,-77.169
-5.94,-78.19
-6.483,-75.757
-6.484,-75.748
-6.56,-75.604
-7.178,-76.73100000000001
-10.921,-74.872
-10.931,-74.874
-11.759,-74.783
-11.76,-74.77
-12.915,-68.102
-13.847000000000001,-75.168
-13.845,-75.17399999999999
-13.845999999999998,-75.161
-14.005999999999998,-75.117
-15.587,-67.808
-15.585,-67.813
8.215,-72.25
3.373,-51.388000000000005
3.3939999999999997,-51.308
3.425,-51.72
3.424,-51.731
3.53,-51.775
3.715,-51.695
3.714,-51.706
3.725,-51.696999999999996
3.7239999999999998,-51.707
4.0489999999999995,-54.792
4.041,-54.79600000000001
4.117,-54.70399999999999
4.229,-54.413999999999994
4.1739999999999995,-55.452
4.2860000000000005,-55.495
4.3069999999999995,-55.44
4.2860000000000005,-55.5
4.711,-55.281000000000006
4.708,-55.299
4.712,-55.287
4.822,-55.255
4.82,-55.273
5.004,-55.187
5.394,-53.005
5.449,-53.32
5.474,-53.553000000000004
5.472,-53.566
5.506,-53.948
5.58,-53.601000000000006
5.579,-53.614
5.652,-53.74100000000001
5.374,-55.583
5.371,-55.601000000000006
5.374,-55.588
5.297000000000001,-57.364
5.297999999999999,-57.369
5.819,-56.855
5.825,-56.861999999999995
-13.638,-43.282
-13.639000000000001,-43.293
-12.620999999999999,-39.958
-13.151,-43.232
-12.625,-39.946
-12.628,-39.964
-12.3,-41.001999999999995
-12.200999999999999,-43.464
-12.065999999999999,-43.111000000000004
-12.177999999999999,-52.683
-9.536,-36.001
-11.677999999999999,-49.865
-11.68,-49.878
-11.685,-49.871
-11.019,-45.86600000000001
-10.814,-45.089
-10.95,-47.263999999999996
-10.784,-47.265
-10.785,-47.273999999999994
-10.655,-46.74
-10.764000000000001,-47.586000000000006
-10.585,-46.757
-10.151,-44.034
-10.652000000000001,-47.762
-10.099,-44.111000000000004
-10.222000000000001,-45.196999999999996
-10.213,-45.198
-10.15,-44.888000000000005
-10.26,-46.86600000000001
-10.027999999999999,-45.31
-10.142999999999999,-46.693999999999996
-9.902000000000001,-45.07899999999999
-10.227,-47.553000000000004
-9.546,-43.095
-9.846,-45.45399999999999
-9.306000000000001,-43.257
-9.308,-43.268
-10.523,-53.506
-9.664,-47.603
-9.499,-46.951
-9.316,-45.794
-9.551,-47.845
-9.465,-47.883
-10.237,-53.912
-10.24,-53.937
-8.77,-44.17100000000001
-8.767999999999999,-44.178000000000004
-9.095,-46.498999999999995
